kume,kol,kosul,alan,AUC,dAUC,GA alt,GA ust,DeLong p,net etki
Ic test,lung,upper,0.20089285714285718,0.9969135802469136,0.0012377829218106484,0.00020897633744853538,0.002598808299039748,0.0349429115827129,-0.007357038751714673
Ic test,lung,center,0.19642857142857142,0.9961687671467765,0.0019825960219477246,0.0006830579132373144,0.0036465031292867594,0.007898714646385141,-0.006612225651577597
Ic test,lung,rand_lungs,0.4061838901142054,0.9664887688614541,0.03166259430727014,0.022214720507544625,0.04180089377572025,1.170565866459583e-10,
Ic test,lung,rand_20,0.1999365474271306,0.9895565414951989,0.008594821673525321,0.004274905692729744,0.014194583762002642,0.00050938205277129,
Ic test,lung,rand_30,0.300000064587467,0.9805598422496569,0.01759152091906735,0.010968042695473353,0.0253035515260631,2.4743708613161886e-06,
RSNA,raw,lungs,0.2357132892219388,0.894952,0.028887999999999914,0.010119999999999959,0.049529999999999935,0.00449744139359276,-0.01319199999999987
RSNA,raw,non_lungs,0.7642867107780612,0.804592,0.11924799999999991,0.08301999999999998,0.1516567999999999,3.2657432313953905e-11,
RSNA,raw,corners,0.19140625,0.9134080000000002,0.010431999999999664,0.0009268000000000388,0.020645400000000102,0.04433468402848417,-0.009200000000000097
RSNA,raw,border,0.2955994897959184,0.9022399999999999,0.021599999999999953,0.009499400000000064,0.03455480000000013,0.0006851668398963895,-0.04353600000000002
RSNA,raw,subdiaphragm,0.28125,0.9085920000000001,0.015247999999999817,0.004554200000000061,0.02682820000000002,0.00604240881875473,-0.049888000000000154
RSNA,raw,upper,0.2008928571428572,0.896984,0.02685599999999988,0.013691800000000042,0.04211239999999987,0.00024019724869916992,0.007224000000000119
RSNA,raw,center,0.19642857142857145,0.9034879999999998,0.020352000000000037,0.006931000000000106,0.03404979999999982,0.003918243548592937,0.000720000000000276
RSNA,raw,rand_lungs,0.23568459024234692,0.8817600000000001,0.042079999999999784,0.022993000000000124,0.06128260000000002,9.217491412583101e-06,
RSNA,raw,rand_20,0.1999722576530612,0.9042080000000001,0.01963199999999976,0.004227799999999957,0.03434560000000003,0.010901230089267022,
RSNA,raw,rand_30,0.29996922831632655,0.8587039999999999,0.06513599999999997,0.04159679999999991,0.08928520000000005,7.645991129123786e-08,
RSNA,roi,lungs,0.3990211256377551,0.8417760000000001,0.08213599999999999,0.05166080000000004,0.11457960000000005,1.7890643477791457e-07,0.026023999999999936
RSNA,roi,non_lungs,0.6009788743622448,0.870016,0.053896000000000055,0.026355999999999935,0.08298219999999999,0.00022967058248379857,
RSNA,roi,corners,0.19140625,0.9154880000000001,0.008423999999999987,-0.004064399999999957,0.020767399999999984,0.20616391208731955,-0.000408000000000186
RSNA,roi,border,0.2955994897959184,0.9002,0.023712000000000066,0.008763799999999993,0.039286999999999864,0.002093508272596134,-0.005152000000000045
RSNA,roi,subdiaphragm,0.28125,0.90832,0.01559200000000005,0.004095199999999988,0.027016800000000035,0.006202389811828857,-0.013272000000000062
RSNA,roi,upper,0.2008928571428572,0.893584,0.03032800000000002,0.011086800000000096,0.049500599999999936,0.001453601427928941,0.02149599999999985
RSNA,roi,center,0.19642857142857145,0.91168,0.01223200000000002,-0.0019055999999998958,0.026890399999999953,0.09717733538418716,0.0033999999999998476
RSNA,roi,rand_lungs,0.39903196747448977,0.8678,0.05611200000000005,0.030343599999999922,0.08175699999999998,2.1909762042637837e-05,
RSNA,roi,rand_20,0.19995910395408162,0.9150799999999999,0.008832000000000173,-0.004440400000000053,0.021989400000000003,0.1896309190902934,
RSNA,roi,rand_30,0.3000457190688776,0.895048,0.028864000000000112,0.009603400000000003,0.04910939999999992,0.0055449038407831,
